<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SBER;60;20230324;110000;202.8500000;203.4800000;202.6100000;203.2700000;4094560
SBER;60;20230324;120000;203.2600000;203.6400000;202.0000000;202.5800000;6107910
SBER;60;20230324;130000;202.5700000;203.8500000;202.5600000;203.0500000;3160250
SBER;60;20230324;140000;203.0600000;203.3200000;202.8000000;203.1100000;1216200
SBER;60;20230324;150000;203.1400000;203.2500000;202.8500000;203.2100000;1044740
SBER;60;20230324;160000;203.2000000;203.4100000;202.9300000;203.0000000;1159810
SBER;60;20230324;170000;203.0000000;203.1500000;202.8500000;202.9000000;1149000
SBER;60;20230324;180000;202.9000000;203.2500000;202.8800000;203.1200000;1617580
SBER;60;20230324;190000;203.0900000;203.1200000;202.9000000;203.0700000;975080
SBER;60;20230324;200000;203.0700000;203.2000000;202.9000000;203.0200000;626740
SBER;60;20230324;210000;203.0400000;203.3000000;202.9700000;203.1200000;718110
SBER;60;20230324;220000;203.1400000;203.2400000;203.0200000;203.2200000;465560
SBER;60;20230324;230000;203.2400000;203.2400000;203.1100000;203.2200000;185000
